Uniprot Accession	Description	Gene name	MW [kDa]	COG class	Annotated functional COG group (description)	Annotated functional COG class
P69228	Transcriptional regulatory protein BaeR OS=Escherichia coli (strain K12) GN=baeR PE=3 SV=1	baeR	27.62056338	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AE88	Transcriptional regulatory protein CpxR OS=Escherichia coli (strain K12) GN=cpxR PE=1 SV=1	cpxR	26.2777507	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P52108	Transcriptional regulatory protein rstA OS=Escherichia coli (strain K12) GN=rstA PE=2 SV=2	rstA	26.66897888	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AG24	Bifunctional (p)ppGpp synthase/hydrolase SpoT OS=Escherichia coli (strain K12) GN=spoT PE=1 SV=1	spoT	79.2742376	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0ACZ8	Transcriptional regulatory protein CusR OS=Escherichia coli (strain K12) GN=cusR PE=1 SV=1	cusR	25.36046757	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P52076	Transcriptional regulatory protein qseB OS=Escherichia coli (strain K12) GN=qseB PE=2 SV=1	qseB	24.64406256	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AEH5	Protein elaB OS=Escherichia coli (strain K12) GN=elaB PE=1 SV=1	elaB	11.28081214	S	Function unknown	POORLY CHARACTERIZED
P0AFP6	UPF0135 protein ybgI OS=Escherichia coli (strain K12) GN=ybgI PE=1 SV=1	ybgI	26.85771166	S	Function unknown	POORLY CHARACTERIZED
P34209	Protein ydcF OS=Escherichia coli (strain K12) GN=ydcF PE=1 SV=3	ydcF	29.66899626	S	Function unknown	POORLY CHARACTERIZED
P0A8A0	UPF0082 protein yebC OS=Escherichia coli (strain K12) GN=yebC PE=1 SV=1	yebC	26.3879	S	Function unknown	POORLY CHARACTERIZED
P0ADU2	Probable quinol monooxygenase ygiN OS=Escherichia coli (strain K12) GN=ygiN PE=1 SV=1	ygiN	11.50680837	S	Function unknown	POORLY CHARACTERIZED
P0ADV1	Lipopolysaccharide export system protein lptA OS=Escherichia coli (strain K12) GN=lptA PE=1 SV=1	lptA	20.09638618	S	Function unknown	POORLY CHARACTERIZED
P27434	Cytoskeleton protein rodZ OS=Escherichia coli (strain K12) GN=rodZ PE=1 SV=2	rodZ	36.15139435	S	Function unknown	POORLY CHARACTERIZED
Q57261	tRNA pseudouridine synthase D OS=Escherichia coli (strain K12) GN=truD PE=1 SV=1	truD	39.04919045	S	Function unknown	POORLY CHARACTERIZED
P67603	UPF0267 protein yqfB OS=Escherichia coli (strain K12) GN=yqfB PE=1 SV=1	yqfB	11.8798891	S	Function unknown	POORLY CHARACTERIZED
P76053	Uncharacterized protein ydaL OS=Escherichia coli (strain K12) GN=ydaL PE=4 SV=1	ydaL	21.4810823	S	Function unknown	POORLY CHARACTERIZED
P0AEY5	Modulator of drug activity B OS=Escherichia coli (strain K12) GN=mdaB PE=1 SV=1	mdaB	21.85893304	R	General function prediction only	POORLY CHARACTERIZED
P0A9G8	Transcriptional regulator modE OS=Escherichia coli (strain K12) GN=modE PE=1 SV=1	modE	28.24576234	R	General function prediction only	POORLY CHARACTERIZED
P77529	Uncharacterized symporter ydjN OS=Escherichia coli (strain K12) GN=ydjN PE=3 SV=1	ydjN	48.61251547	R	General function prediction only	POORLY CHARACTERIZED
P0AD05	Uncharacterized protein yecA OS=Escherichia coli (strain K12) GN=yecA PE=4 SV=1	yecA	25.00514471	R	General function prediction only	POORLY CHARACTERIZED
P31064	UPF0394 inner membrane protein yedE OS=Escherichia coli (strain K12) GN=yedE PE=1 SV=1	yedE	44.3813142	R	General function prediction only	POORLY CHARACTERIZED
P0ADP0	Uncharacterized protein yigB OS=Escherichia coli (strain K12) GN=yigB PE=4 SV=1	yigB	27.08685052	R	General function prediction only	POORLY CHARACTERIZED
P30863	2,5-diketo-D-gluconic acid reductase B OS=Escherichia coli (strain K12) GN=dkgB PE=1 SV=2	dkgB	29.40044699	R	General function prediction only	POORLY CHARACTERIZED
P0ADR6	Ribosomal RNA large subunit methyltransferase M OS=Escherichia coli (strain K12) GN=rlmM PE=1 SV=1	rlmM	41.86012425	R	General function prediction only	POORLY CHARACTERIZED
P24203	Uncharacterized GTP-binding protein YjiA OS=Escherichia coli (strain K12) GN=yjiA PE=1 SV=3	yjiA	35.61919065	R	General function prediction only	POORLY CHARACTERIZED
P37634	Uncharacterized protein yhiR OS=Escherichia coli (strain K12) GN=yhiR PE=1 SV=1	rlmJ	31.90375488	R	General function prediction only	POORLY CHARACTERIZED
P10378	Enterobactin synthase component E OS=Escherichia coli (strain K12) GN=entE PE=3 SV=3	entE	59.0571205	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0ABI4	Magnesium transport protein CorA OS=Escherichia coli (strain K12) GN=corA PE=1 SV=1	corA	36.54854499	P	Inorganic ion transport and metabolism	METABOLISM
P0ABB8	Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli (strain K12) GN=mgtA PE=1 SV=1	mgtA	99.38484487	P	Inorganic ion transport and metabolism	METABOLISM
P30750	Methionine import ATP-binding protein MetN OS=Escherichia coli (strain K12) GN=metN PE=1 SV=4	metN	37.74671445	P	Inorganic ion transport and metabolism	METABOLISM
P0AG27	Uncharacterized protein yibN OS=Escherichia coli (strain K12) GN=yibN PE=1 SV=1	yibN	15.56847178	P	Inorganic ion transport and metabolism	METABOLISM
Q46871	Uncharacterized protein yqjH OS=Escherichia coli (strain K12) GN=yqjH PE=4 SV=1	yqjH	28.83553263	P	Inorganic ion transport and metabolism	METABOLISM
P0A6F9	10 kDa chaperonin OS=Escherichia coli (strain K12) GN=groS PE=1 SV=1	groS	10.36257251	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P63020	Fe/S biogenesis protein nfuA OS=Escherichia coli (strain K12) GN=nfuA PE=1 SV=1	nfuA	20.96631212	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P05458	Protease 3 OS=Escherichia coli (strain K12) GN=ptrA PE=1 SV=1	ptrA	107.6226732	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0ADX1	Protein yhfA OS=Escherichia coli (strain K12) GN=yhfA PE=1 SV=1	yhfA	14.48933748	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P25894	Uncharacterized metalloprotease yggG OS=Escherichia coli (strain K12) GN=yggG PE=1 SV=2	loiP	26.80719132	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P07862	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3	ddlB	32.80079555	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P17115	Protein gutQ OS=Escherichia coli (strain K12) GN=gutQ PE=3 SV=3	gutQ	33.99164548	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P61320	Outer-membrane lipoprotein lolB OS=Escherichia coli (strain K12) GN=lolB PE=1 SV=1	lolB	23.51796895	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A908	MltA-interacting protein OS=Escherichia coli (strain K12) GN=mipA PE=1 SV=1	mipA	27.79547595	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AEU7	Chaperone protein skp OS=Escherichia coli (strain K12) GN=skp PE=1 SV=1	skp	17.65927147	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AD12	Protein yeeZ OS=Escherichia coli (strain K12) GN=yeeZ PE=1 SV=1	yeeZ	29.64315127	MG	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P51981	L-Ala-D/L-Glu epimerase OS=Escherichia coli (strain K12) GN=ycjG PE=1 SV=2	ycjG	34.63389513	MR	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AFV4	Lipoprotein spr OS=Escherichia coli (strain K12) GN=spr PE=1 SV=1	mepS	21.00875296	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P03004	Chromosomal replication initiator protein dnaA OS=Escherichia coli (strain K12) GN=dnaA PE=1 SV=2	dnaA	52.50023299	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A988	DNA polymerase III subunit beta OS=Escherichia coli (strain K12) GN=dnaN PE=1 SV=1	dnaN	40.54271128	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A6C1	Endonuclease 4 OS=Escherichia coli (strain K12) GN=nfo PE=1 SV=1	nfo	31.44166786	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0AGE0	Single-stranded DNA-binding protein OS=Escherichia coli (strain K12) GN=ssb PE=1 SV=2	ssb	18.94523563	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A6Y1	Integration host factor subunit beta OS=Escherichia coli (strain K12) GN=ihfB PE=1 SV=1	ihfB	10.62651305	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0AFI2	DNA topoisomerase 4 subunit A OS=Escherichia coli (strain K12) GN=parC PE=1 SV=1	parC	83.76044139	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A8V6	Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2	fadR	26.93391284	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACI0	Right origin-binding protein OS=Escherichia coli (strain K12) GN=rob PE=1 SV=1	rob	33.1058406	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8W2	Transcriptional regulator slyA OS=Escherichia coli (strain K12) GN=slyA PE=3 SV=1	slyA	16.32493091	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACU7	HTH-type transcriptional regulator yjdC OS=Escherichia coli (strain K12) GN=yjdC PE=1 SV=1	yjdC	21.89903054	K	Transcription	INFORMATION STORAGE AND PROCESSING
P03024	HTH-type transcriptional regulator galR OS=Escherichia coli (strain K12) GN=galR PE=1 SV=1	galR	37.05269803	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0AGK8	HTH-type transcriptional regulator iscR OS=Escherichia coli (strain K12) GN=iscR PE=1 SV=1	iscR	17.30789682	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACR9	Transcriptional repressor mprA OS=Escherichia coli (strain K12) GN=mprA PE=2 SV=1	mprA	20.53228755	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACT6	HTH-type transcriptional regulator uidR OS=Escherichia coli (strain K12) GN=uidR PE=4 SV=1	uidR	21.76699841	K	Transcription	INFORMATION STORAGE AND PROCESSING
P16384	tRNA dimethylallyltransferase OS=Escherichia coli (strain K12) GN=miaA PE=1 SV=2	miaA	35.02515434	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7G2	Ribosome-binding factor A OS=Escherichia coli (strain K12) GN=rbfA PE=1 SV=2	rbfA	15.12678278	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P02413	50S ribosomal protein L15 OS=Escherichia coli (strain K12) GN=rplO PE=1 SV=1	rplO	14.95331259	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P61175	50S ribosomal protein L22 OS=Escherichia coli (strain K12) GN=rplV PE=1 SV=1	rplV	12.20075881	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7M9	50S ribosomal protein L31 OS=Escherichia coli (strain K12) GN=rpmE PE=1 SV=1	rpmE	7.84790539	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P60340	tRNA pseudouridine synthase B OS=Escherichia coli (strain K12) GN=truB PE=1 SV=1	truB	35.04711747	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P25745	tRNA-specific 2-thiouridylase mnmA OS=Escherichia coli (strain K12) GN=mnmA PE=1 SV=4	mnmA	40.91558427	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7X6	Ribosome maturation factor rimM OS=Escherichia coli (strain K12) GN=rimM PE=1 SV=1	rimM	20.57428939	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P63177	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB OS=Escherichia coli (strain K12) GN=rlmB PE=1 SV=1	rlmB	26.5218074	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P33643	Ribosomal large subunit pseudouridine synthase D OS=Escherichia coli (strain K12) GN=rluD PE=1 SV=4	rluD	37.08022944	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A951	Spermidine N(1)-acetyltransferase OS=Escherichia coli (strain K12) GN=speG PE=1 SV=2	speG	21.85510936	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P07649	tRNA pseudouridine synthase A OS=Escherichia coli (strain K12) GN=truA PE=1 SV=1	truA	30.36246389	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AF93	RutC family protein yjgF OS=Escherichia coli (strain K12) GN=yjgF PE=1 SV=2	ridA	13.58513216	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A6Q3	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabA PE=1 SV=2	fabA	18.9386743	I	Lipid transport and metabolism	METABOLISM
P0A6Q6	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1	fabZ	17.00389284	I	Lipid transport and metabolism	METABOLISM
P41407	FMN-dependent NADH-azoreductase OS=Escherichia coli (strain K12) GN=azoR PE=1 SV=3	azoR	21.62628299	I	Lipid transport and metabolism	METABOLISM
P31808	Uncharacterized oxidoreductase yciK OS=Escherichia coli (strain K12) GN=yciK PE=1 SV=3	yciK	27.8970141	IQR	Lipid transport and metabolism	METABOLISM
P37769	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=kduD PE=3 SV=2	kduD	27.03484392	IQR	Lipid transport and metabolism	METABOLISM
P0A794	Pyridoxine 5'-phosphate synthase OS=Escherichia coli (strain K12) GN=pdxJ PE=1 SV=2	pdxJ	26.349544	H	Coenzyme transport and metabolism	METABOLISM
P76290	tRNA (cmo5U34)-methyltransferase OS=Escherichia coli (strain K12) GN=cmoA PE=1 SV=1	cmoA	27.74085535	H	Coenzyme transport and metabolism	METABOLISM
P0A9J4	2-dehydropantoate 2-reductase OS=Escherichia coli (strain K12) GN=panE PE=1 SV=1	panE	33.83133232	H	Coenzyme transport and metabolism	METABOLISM
P0A7J0	3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli (strain K12) GN=ribB PE=1 SV=1	ribB	23.3205293	H	Coenzyme transport and metabolism	METABOLISM
P0A6U8	Glycogen synthase OS=Escherichia coli (strain K12) GN=glgA PE=1 SV=1	glgA	52.77106546	G	Carbohydrate transport and metabolism	METABOLISM
P08194	Glycerol-3-phosphate transporter OS=Escherichia coli (strain K12) GN=glpT PE=1 SV=1	glpT	50.25870958	G	Carbohydrate transport and metabolism	METABOLISM
P31677	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3	otsA	53.55978131	G	Carbohydrate transport and metabolism	METABOLISM
P76014	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit dhaL OS=Escherichia coli (strain K12) GN=dhaL PE=1 SV=3	dhaL	22.59929494	G	Carbohydrate transport and metabolism	METABOLISM
P20966	PTS system fructose-specific EIIBC component OS=Escherichia coli (strain K12) GN=fruA PE=4 SV=1	fruA	57.46364429	G	Carbohydrate transport and metabolism	METABOLISM
P37188	Galactitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=gatB PE=1 SV=2	gatB	10.19727069	G	Carbohydrate transport and metabolism	METABOLISM
P69828	Galactitol-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=gatA PE=4 SV=1	gatA	16.87877273	GT	Carbohydrate transport and metabolism	METABOLISM
P37676	2,3-diketo-L-gulonate-binding periplasmic protein yiaO OS=Escherichia coli (strain K12) GN=yiaO PE=1 SV=1	yiaO	35.92955891	G	Carbohydrate transport and metabolism	METABOLISM
P0A6I0	Cytidylate kinase OS=Escherichia coli (strain K12) GN=cmk PE=1 SV=1	cmk	24.7130717	F	Nucleotide transport and metabolism	METABOLISM
P0A9M5	Xanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=gpt PE=1 SV=1	gpt	16.94177839	F	Nucleotide transport and metabolism	METABOLISM
P09029	N5-carboxyaminoimidazole ribonucleotide synthase OS=Escherichia coli (strain K12) GN=purK PE=1 SV=2	purK	39.41826516	F	Nucleotide transport and metabolism	METABOLISM
P39377	Isoaspartyl dipeptidase OS=Escherichia coli (strain K12) GN=iadA PE=1 SV=1	iadA	41.04022097	F	Nucleotide transport and metabolism	METABOLISM
P41409	Pyrimidine-specific ribonucleoside hydrolase rihA OS=Escherichia coli (strain K12) GN=rihA PE=1 SV=2	rihA	33.78339389	F	Nucleotide transport and metabolism	METABOLISM
P22564	Non-specific ribonucleoside hydrolase rihC OS=Escherichia coli (strain K12) GN=rihC PE=1 SV=1	rihC	32.52171177	F	Nucleotide transport and metabolism	METABOLISM
P07639	3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1	aroB	38.83830699	E	Amino acid transport and metabolism	METABOLISM
P00887	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) GN=aroH PE=3 SV=4	aroH	38.6926325	E	Amino acid transport and metabolism	METABOLISM
P0AED7	Succinyl-diaminopimelate desuccinylase OS=Escherichia coli (strain K12) GN=dapE PE=1 SV=1	dapE	41.2248347	E	Amino acid transport and metabolism	METABOLISM
P60664	Imidazole glycerol phosphate synthase subunit hisF OS=Escherichia coli (strain K12) GN=hisF PE=1 SV=1	hisF	28.41856168	E	Amino acid transport and metabolism	METABOLISM
P00861	Diaminopimelate decarboxylase OS=Escherichia coli (strain K12) GN=lysA PE=1 SV=1	lysA	46.13041262	E	Amino acid transport and metabolism	METABOLISM
P40874	N-methyl-L-tryptophan oxidase OS=Escherichia coli (strain K12) GN=solA PE=1 SV=1	solA	40.85833116	E	Amino acid transport and metabolism	METABOLISM
P09158	Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2	speE	32.28272207	E	Amino acid transport and metabolism	METABOLISM
P0A6L4	N-acetylneuraminate lyase OS=Escherichia coli (strain K12) GN=nanA PE=1 SV=2	nanA	32.55482139	EM	Amino acid transport and metabolism	METABOLISM
P22731	High-affinity branched-chain amino acid transport ATP-binding protein LivF OS=Escherichia coli (strain K12) GN=livF PE=1 SV=2	livF	26.27561303	E	Amino acid transport and metabolism	METABOLISM
P69874	Spermidine/putrescine import ATP-binding protein PotA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1	potA	42.98298678	E	Amino acid transport and metabolism	METABOLISM
Q5H777	Gamma-glutamylputrescine synthetase OS=Escherichia coli (strain K12) GN=puuA PE=3 SV=1	puuA	53.12522576	E	Amino acid transport and metabolism	METABOLISM
P33360	Putative osmoprotectant uptake system ATP-binding protein YehX OS=Escherichia coli (strain K12) GN=yehX PE=2 SV=1	yehX	34.38489123	E	Amino acid transport and metabolism	METABOLISM
P0ADQ2	Uncharacterized protein yiiD OS=Escherichia coli (strain K12) GN=yiiD PE=4 SV=1	yiiD	37.05270236	E	Amino acid transport and metabolism	METABOLISM
P0A9R7	Cell division ATP-binding protein FtsE OS=Escherichia coli (strain K12) GN=ftsE PE=1 SV=1	ftsE	24.40587198	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P46889	DNA translocase ftsK OS=Escherichia coli (strain K12) GN=ftsK PE=1 SV=2	ftsK	146.5535019	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0A734	Cell division topological specificity factor OS=Escherichia coli (strain K12) GN=minE PE=1 SV=1	minE	10.21047912	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P60293	Chromosome partition protein mukF OS=Escherichia coli (strain K12) GN=mukF PE=1 SV=1	mukF	50.5296168	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P20605	Probable adenosine monophosphate-protein transferase fic OS=Escherichia coli (strain K12) GN=fic PE=1 SV=1	fic	22.92744971	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P61949	Flavodoxin-1 OS=Escherichia coli (strain K12) GN=fldA PE=1 SV=2	fldA	19.70653052	C	Energy production and conversion	METABOLISM
P09148	Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2	galT	39.60251619	C	Energy production and conversion	METABOLISM
P0A9S1	Lactaldehyde reductase OS=Escherichia coli (strain K12) GN=fucO PE=1 SV=1	fucO	40.60070263	C	Energy production and conversion	METABOLISM
